algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,20,99,0.121,108.0,"[[200, 0.0], [108, 0.0304], [108, 0.121]]"
degree,200,20,99,0.0027,107.0,"[[200, 0.0], [107, 0.0007], [107, 0.0027]]"
degree_connected,200,20,99,0.021,107.0,"[[200, 0.0], [107, 0.0052], [107, 0.021]]"
degree_discount,200,20,99,0.0144,107.0,"[[200, 0.0], [107, 0.0038], [107, 0.0144]]"
degree_threshold,200,20,99,0.0017,102.0,"[[200, 0.0], [102, 0.0009], [102, 0.0017]]"
goldberg_liu,200,20,99,61.486,31.0,"[[200, 0.0], [107, 3.9674], [50, 33.3786], [49, 34.6074], [38, 34.7004], [37, 34.9447], [36, 35.0891], [34, 35.203], [33, 35.7906], [32, 41.3888], [31, 61.4411], [31, 61.486]]"
high_thetas,200,20,99,0.0099,35.0,"[[200, 0.0], [100, 0.0013], [50, 0.003], [37, 0.0056], [35, 0.0099], [35, 0.0099]]"
nads_binary_search,200,20,99,360.3003,29.0,"[[200, 0.0], [100, 0.0015], [50, 0.0033], [37, 5.4178], [31, 6.7483], [29, 14.8405], [29, 360.3003]]"
betweenness,400,1,99,0.6344,105.0,"[[400, 0.0], [200, 0.1265], [105, 0.2534], [105, 0.6344]]"
degree,400,1,99,0.0138,105.0,"[[400, 0.0], [200, 0.0022], [105, 0.0052], [105, 0.0138]]"
degree_connected,400,1,99,0.0795,105.0,"[[400, 0.0], [200, 0.0283], [105, 0.041], [105, 0.0795]]"
degree_discount,400,1,99,0.0423,205.0,"[[400, 0.0], [205, 0.0107], [205, 0.0423]]"
degree_threshold,400,1,99,0.0307,45.0,"[[400, 0.0], [200, 0.0018], [100, 0.0042], [50, 0.0087], [48, 0.0204], [45, 0.0256], [45, 0.0307]]"
goldberg_liu,400,1,99,720.7306,29.0,"[[400, 0.0], [210, 30.7817], [72, 413.7561], [60, 425.6296], [34, 426.621], [31, 429.8239], [30, 443.0462], [29, 503.6923], [29, 720.7306]]"
high_thetas,400,1,99,0.0341,46.0,"[[400, 0.0], [200, 0.0036], [100, 0.0079], [50, 0.0129], [46, 0.0292], [46, 0.0341]]"
nads_binary_search,400,1,99,720.0134,25.0,"[[400, 0.0], [200, 0.0239], [100, 0.0288], [50, 0.0343], [37, 120.8669], [31, 131.644], [28, 229.5418], [26, 475.5261], [25, 656.7591], [25, 720.0134]]"
betweenness,400,5,99,0.2581,202.0,"[[400, 0.0], [202, 0.1308], [202, 0.2581]]"
degree,400,5,99,0.0043,202.0,"[[400, 0.0], [202, 0.0022], [202, 0.0043]]"
degree_connected,400,5,99,0.0565,202.0,"[[400, 0.0], [202, 0.0281], [202, 0.0565]]"
degree_discount,400,5,99,0.0319,203.0,"[[400, 0.0], [203, 0.0112], [203, 0.0319]]"
degree_threshold,400,5,99,0.0069,102.0,"[[400, 0.0], [200, 0.0024], [102, 0.0046], [102, 0.0069]]"
goldberg_liu,400,5,99,725.8621,31.0,"[[400, 0.0], [212, 30.7429], [69, 552.2999], [59, 561.9343], [35, 562.997], [34, 564.0034], [33, 564.6898], [32, 569.183], [31, 623.465], [31, 725.8621]]"
high_thetas,400,5,99,0.0364,47.0,"[[400, 0.0], [200, 0.0039], [100, 0.0083], [50, 0.0138], [48, 0.0294], [47, 0.0364], [47, 0.0364]]"
nads_binary_search,400,5,99,720.0168,29.0,"[[400, 0.0], [200, 0.0071], [100, 0.0115], [50, 0.0173], [37, 123.0211], [31, 249.2871], [29, 613.1904], [29, 720.0168]]"
betweenness,400,10,99,0.3768,204.0,"[[400, 0.0], [204, 0.1263], [204, 0.3768]]"
degree,400,10,99,0.0059,204.0,"[[400, 0.0], [204, 0.002], [204, 0.0059]]"
degree_connected,400,10,99,0.0845,204.0,"[[400, 0.0], [204, 0.0279], [204, 0.0845]]"
degree_discount,400,10,99,0.0407,205.0,"[[400, 0.0], [205, 0.0099], [205, 0.0407]]"
degree_threshold,400,10,99,0.0081,104.0,"[[400, 0.0], [200, 0.0018], [104, 0.0039], [104, 0.0081]]"
goldberg_liu,400,10,99,721.7241,37.0,"[[400, 0.0], [213, 30.7299], [58, 548.7207], [44, 555.7165], [43, 559.5951], [39, 560.2477], [38, 564.4052], [37, 621.8235], [37, 721.7241]]"
high_thetas,400,10,99,0.0279,50.0,"[[400, 0.0], [200, 0.0037], [100, 0.0081], [50, 0.0143], [50, 0.0279]]"
nads_binary_search,400,10,99,720.9702,34.0,"[[400, 0.0], [200, 0.0084], [100, 0.0133], [50, 0.0194], [37, 126.6751], [34, 245.6535], [34, 720.9702]]"
betweenness,400,20,99,0.501,207.0,"[[400, 0.0], [207, 0.126], [207, 0.501]]"
degree,400,20,99,0.0085,207.0,"[[400, 0.0], [207, 0.0021], [207, 0.0085]]"
degree_connected,400,20,99,0.1147,207.0,"[[400, 0.0], [207, 0.0282], [207, 0.1147]]"
degree_discount,400,20,99,0.0516,211.0,"[[400, 0.0], [211, 0.0106], [211, 0.0516]]"
degree_threshold,400,20,99,0.0112,107.0,"[[400, 0.0], [200, 0.0019], [107, 0.0043], [107, 0.0112]]"
goldberg_liu,400,20,99,456.6043,44.0,"[[400, 0.0], [215, 30.7973], [55, 417.0236], [50, 417.2401], [49, 422.3522], [48, 426.1718], [47, 428.2924], [46, 432.6596], [45, 440.6648], [44, 455.7855], [44, 456.6043]]"
high_thetas,400,20,99,0.0385,58.0,"[[400, 0.0], [200, 0.0036], [100, 0.0079], [75, 0.0149], [62, 0.0206], [59, 0.0294], [58, 0.0385], [58, 0.0385]]"
nads_binary_search,400,20,99,720.0147,45.0,"[[400, 0.0], [200, 0.0053], [100, 0.0102], [50, 19.0644], [45, 296.7469], [45, 720.0146]]"
betweenness,600,1,99,0.8668,303.0,"[[600, 0.0], [303, 0.2912], [303, 0.8668]]"
degree,600,1,99,0.0107,303.0,"[[600, 0.0], [303, 0.0036], [303, 0.0107]]"
degree_connected,600,1,99,0.247,303.0,"[[600, 0.0], [303, 0.0819], [303, 0.247]]"
degree_discount,600,1,99,0.0888,307.0,"[[600, 0.0], [307, 0.0223], [307, 0.0888]]"
degree_threshold,600,1,99,0.016,153.0,"[[600, 0.0], [300, 0.0038], [153, 0.0079], [153, 0.016]]"
goldberg_liu,600,1,99,,,null
high_thetas,600,1,99,0.0995,61.0,"[[600, 0.0], [300, 0.0105], [150, 0.0189], [75, 0.0291], [65, 0.0517], [62, 0.0783], [61, 0.0995], [61, 0.0995]]"
nads_binary_search,600,1,99,1081.8954,40.0,"[[600, 0.0], [300, 0.0305], [150, 0.0394], [75, 0.0506], [56, 159.3306], [46, 221.254], [41, 316.7139], [40, 971.2726], [40, 1081.8954]]"
betweenness,600,5,99,0.8716,304.0,"[[600, 0.0], [304, 0.2901], [304, 0.8716]]"
degree,600,5,99,0.0101,304.0,"[[600, 0.0], [304, 0.0034], [304, 0.0101]]"
degree_connected,600,5,99,0.2469,304.0,"[[600, 0.0], [304, 0.0818], [304, 0.2469]]"
degree_discount,600,5,99,0.0901,307.0,"[[600, 0.0], [307, 0.0237], [307, 0.0901]]"
degree_threshold,600,5,99,0.0067,302.0,"[[600, 0.0], [302, 0.0034], [302, 0.0067]]"
goldberg_liu,600,5,99,,,null
high_thetas,600,5,99,0.0862,64.0,"[[600, 0.0], [300, 0.011], [150, 0.0197], [75, 0.0301], [65, 0.0542], [64, 0.0862], [64, 0.0862]]"
nads_binary_search,600,5,99,1080.0263,44.0,"[[600, 0.0], [300, 0.0216], [150, 0.031], [75, 0.0421], [56, 194.1288], [46, 264.2464], [45, 809.3523], [44, 896.3223], [44, 1080.0263]]"
betweenness,600,10,99,0.8664,304.0,"[[600, 0.0], [304, 0.2866], [304, 0.8664]]"
degree,600,10,99,0.0107,304.0,"[[600, 0.0], [304, 0.0036], [304, 0.0107]]"
degree_connected,600,10,99,0.2474,304.0,"[[600, 0.0], [304, 0.0819], [304, 0.2474]]"
degree_discount,600,10,99,0.1175,312.0,"[[600, 0.0], [312, 0.0228], [312, 0.1175]]"
degree_threshold,600,10,99,0.0068,302.0,"[[600, 0.0], [302, 0.0035], [302, 0.0068]]"
goldberg_liu,600,10,99,,,null
high_thetas,600,10,99,0.0924,64.0,"[[600, 0.0], [300, 0.0112], [150, 0.0204], [75, 0.0322], [65, 0.0583], [64, 0.0924], [64, 0.0924]]"
nads_binary_search,600,10,99,1080.028,47.0,"[[600, 0.0], [300, 0.025], [150, 0.0345], [75, 0.0473], [56, 187.9662], [48, 366.4188], [47, 669.3817], [47, 1080.028]]"
betweenness,600,20,99,1.4518,309.0,"[[600, 0.0], [309, 0.2968], [309, 1.4518]]"
degree,600,20,99,0.017,309.0,"[[600, 0.0], [309, 0.0035], [309, 0.017]]"
degree_connected,600,20,99,0.4196,309.0,"[[600, 0.0], [309, 0.0829], [309, 0.4196]]"
degree_discount,600,20,99,0.1234,312.0,"[[600, 0.0], [312, 0.0244], [312, 0.1234]]"
degree_threshold,600,20,99,0.0112,303.0,"[[600, 0.0], [303, 0.0046], [303, 0.0112]]"
goldberg_liu,600,20,99,,,null
high_thetas,600,20,99,0.0454,76.0,"[[600, 0.0], [300, 0.0102], [150, 0.0192], [77, 0.0322], [76, 0.0454], [76, 0.0454]]"
nads_binary_search,600,20,99,1080.034,58.0,"[[600, 0.0], [300, 0.0338], [150, 0.0433], [75, 20.0806], [60, 322.975], [58, 507.9144], [58, 1080.034]]"
betweenness,1000,1,99,3.3755,508.0,"[[1000, 0.0], [508, 0.8474], [508, 3.3755]]"
degree,1000,1,99,0.0253,508.0,"[[1000, 0.0], [508, 0.0055], [508, 0.0253]]"
degree_connected,1000,1,99,1.3565,508.0,"[[1000, 0.0], [508, 0.335], [508, 1.3565]]"
degree_discount,1000,1,99,0.2196,506.0,"[[1000, 0.0], [509, 0.053], [508, 0.1081], [506, 0.1644], [506, 0.2196]]"
degree_threshold,1000,1,99,0.0874,154.0,"[[1000, 0.0], [500, 0.0064], [250, 0.0148], [154, 0.0287], [154, 0.0874]]"
goldberg_liu,1000,1,99,,,null
high_thetas,1000,1,99,0.1867,101.0,"[[1000, 0.0], [500, 0.0278], [250, 0.0457], [125, 0.065], [109, 0.1085], [101, 0.1476], [101, 0.1867]]"
nads_binary_search,1000,1,99,1800.0515,67.0,"[[1000, 0.0], [500, 0.027], [250, 0.0452], [125, 0.0648], [93, 257.6392], [77, 324.1291], [69, 599.4162], [67, 1312.9899], [67, 1800.0515]]"
betweenness,1000,5,99,3.3736,508.0,"[[1000, 0.0], [508, 0.8459], [508, 3.3736]]"
degree,1000,5,99,0.0222,508.0,"[[1000, 0.0], [508, 0.0059], [508, 0.0222]]"
degree_connected,1000,5,99,1.3583,508.0,"[[1000, 0.0], [508, 0.3355], [508, 1.3583]]"
degree_discount,1000,5,99,0.2682,509.0,"[[1000, 0.0], [509, 0.0516], [509, 0.2681]]"
degree_threshold,1000,5,99,0.0119,502.0,"[[1000, 0.0], [502, 0.006], [502, 0.0119]]"
goldberg_liu,1000,5,99,,,null
high_thetas,1000,5,99,0.1976,103.0,"[[1000, 0.0], [500, 0.0266], [250, 0.0444], [125, 0.0642], [109, 0.1102], [105, 0.1511], [103, 0.1843], [103, 0.1976]]"
nads_binary_search,1000,5,99,1800.9542,78.0,"[[1000, 0.0], [500, 0.0266], [250, 0.0445], [125, 0.0643], [93, 300.418], [80, 600.4975], [78, 1251.3916], [78, 1800.9541]]"
betweenness,1000,10,99,5.0338,522.0,"[[1000, 0.0], [522, 0.8394], [522, 5.0338]]"
degree,1000,10,99,0.0258,513.0,"[[1000, 0.0], [513, 0.0055], [513, 0.0258]]"
degree_connected,1000,10,99,1.7122,513.0,"[[1000, 0.0], [513, 0.3338], [513, 1.7122]]"
degree_discount,1000,10,99,0.267,509.0,"[[1000, 0.0], [509, 0.0521], [509, 0.267]]"
degree_threshold,1000,10,99,0.0168,503.0,"[[1000, 0.0], [503, 0.0057], [503, 0.0168]]"
goldberg_liu,1000,10,99,,,null
high_thetas,1000,10,99,0.1885,104.0,"[[1000, 0.0], [500, 0.0246], [250, 0.0428], [125, 0.0638], [109, 0.1081], [105, 0.1482], [104, 0.1885], [104, 0.1885]]"
nads_binary_search,1000,10,99,1800.1065,84.0,"[[1000, 0.0], [500, 0.0242], [250, 0.042], [125, 0.0631], [93, 312.2626], [84, 609.918], [84, 1800.1065]]"
betweenness,1000,20,99,5.0379,529.0,"[[1000, 0.0], [529, 0.8395], [529, 5.0379]]"
degree,1000,20,99,0.0286,529.0,"[[1000, 0.0], [529, 0.0048], [529, 0.0286]]"
degree_connected,1000,20,99,2.131,529.0,"[[1000, 0.0], [529, 0.3343], [529, 2.131]]"
degree_discount,1000,20,99,0.3064,524.0,"[[1000, 0.0], [524, 0.0507], [524, 0.3064]]"
degree_threshold,1000,20,99,0.0169,504.0,"[[1000, 0.0], [504, 0.0057], [504, 0.0169]]"
goldberg_liu,1000,20,99,,,null
high_thetas,1000,20,99,0.0883,126.0,"[[1000, 0.0], [500, 0.0248], [250, 0.0436], [127, 0.0667], [126, 0.0883], [126, 0.0883]]"
nads_binary_search,1000,20,99,1800.1038,94.0,"[[1000, 0.0], [500, 0.0245], [250, 0.0429], [125, 8.4376], [96, 520.4465], [94, 1001.2506], [94, 1800.1037]]"
betweenness,2000,1,99,20.7424,515.0,"[[2000, 0.0], [1000, 3.4511], [515, 6.9123], [515, 20.7424]]"
degree,2000,1,99,0.1952,521.0,"[[2000, 0.0], [1000, 0.0149], [521, 0.047], [521, 0.1952]]"
degree_connected,2000,1,99,6.3309,516.0,"[[2000, 0.0], [1000, 2.4437], [516, 3.1977], [516, 6.3309]]"
degree_discount,2000,1,99,0.9566,1015.0,"[[2000, 0.0], [1015, 0.1912], [1015, 0.9566]]"
degree_threshold,2000,1,99,0.1708,258.0,"[[2000, 0.0], [1000, 0.0139], [500, 0.0327], [258, 0.0675], [258, 0.1708]]"
goldberg_liu,2000,1,99,,,null
high_thetas,2000,1,99,0.7003,178.0,"[[2000, 0.0], [1000, 0.092], [500, 0.1458], [250, 0.1916], [187, 0.2965], [179, 0.4728], [178, 0.7003], [178, 0.7003]]"
nads_binary_search,2000,1,99,3600.122,141.0,"[[2000, 0.0], [1000, 0.0932], [500, 0.1473], [250, 0.1934], [187, 450.3493], [156, 465.6039], [146, 1182.1968], [143, 1893.4077], [141, 3327.205], [141, 3600.122]]"
betweenness,2000,5,99,13.8171,1007.0,"[[2000, 0.0], [1007, 3.4577], [1007, 13.8171]]"
degree,2000,5,99,0.0397,1004.0,"[[2000, 0.0], [1004, 0.0133], [1004, 0.0397]]"
degree_connected,2000,5,99,7.3424,1004.0,"[[2000, 0.0], [1004, 2.4412], [1004, 7.3424]]"
degree_discount,2000,5,99,1.1265,1017.0,"[[2000, 0.0], [1017, 0.1941], [1017, 1.1265]]"
degree_threshold,2000,5,99,0.0244,1002.0,"[[2000, 0.0], [1002, 0.0123], [1002, 0.0244]]"
goldberg_liu,2000,5,99,,,null
high_thetas,2000,5,99,0.71,182.0,"[[2000, 0.0], [1000, 0.0899], [500, 0.1427], [250, 0.1888], [187, 0.2959], [183, 0.5436], [182, 0.71], [182, 0.71]]"
nads_binary_search,2000,5,99,3600.2802,160.0,"[[2000, 0.0], [1000, 0.092], [500, 0.1461], [250, 0.1931], [187, 520.7243], [160, 1034.3793], [160, 3600.2802]]"
betweenness,2000,10,99,13.8979,1007.0,"[[2000, 0.0], [1007, 3.484], [1007, 13.8979]]"
degree,2000,10,99,0.0495,1006.0,"[[2000, 0.0], [1006, 0.0124], [1006, 0.0495]]"
degree_connected,2000,10,99,9.8256,1006.0,"[[2000, 0.0], [1006, 2.4407], [1006, 9.8256]]"
degree_discount,2000,10,99,1.1181,1017.0,"[[2000, 0.0], [1017, 0.1927], [1017, 1.1181]]"
degree_threshold,2000,10,99,0.038,1004.0,"[[2000, 0.0], [1004, 0.0138], [1004, 0.038]]"
goldberg_liu,2000,10,99,,,null
high_thetas,2000,10,99,0.6102,185.0,"[[2000, 0.0], [1000, 0.0899], [500, 0.1426], [250, 0.1877], [187, 0.3003], [185, 0.5532], [185, 0.6102]]"
nads_binary_search,2000,10,99,3709.7944,161.0,"[[2000, 0.0], [1000, 0.0921], [500, 0.1459], [250, 0.1919], [187, 450.338], [161, 1077.9691], [161, 3709.7944]]"
betweenness,2000,20,99,17.363,1011.0,"[[2000, 0.0], [1011, 3.4585], [1011, 17.363]]"
degree,2000,20,99,0.057,1011.0,"[[2000, 0.0], [1011, 0.0115], [1011, 0.057]]"
degree_connected,2000,20,99,12.3235,1011.0,"[[2000, 0.0], [1011, 2.4376], [1011, 12.3235]]"
degree_discount,2000,20,99,1.1114,1017.0,"[[2000, 0.0], [1017, 0.1911], [1017, 1.1114]]"
degree_threshold,2000,20,99,0.0475,1006.0,"[[2000, 0.0], [1006, 0.013], [1006, 0.0475]]"
goldberg_liu,2000,20,99,,,null
high_thetas,2000,20,99,0.6631,195.0,"[[2000, 0.0], [1000, 0.0899], [500, 0.1433], [250, 0.1895], [218, 0.3183], [202, 0.3891], [198, 0.5099], [196, 0.584], [195, 0.6631], [195, 0.6631]]"
nads_binary_search,2000,20,99,3600.2752,165.0,"[[2000, 0.0], [1000, 0.0909], [500, 0.1459], [250, 0.1933], [187, 820.3136], [165, 1283.8251], [165, 3600.2751]]"
