algorithm,n_nodes,c,seed,total_time,K,history
degree_discount,6,1,53,0.0004,3,"[[6, 0.0], [3, 0.0002], [3, 0.0004]]"
degree_threshold,6,1,53,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,6,1,53,0.1926,2,"[[2, 0.1926]]"
goldberg_liu,6,1,53,0.0011,3,"[[6, 0.0], [3, 0.0005], [3, 0.0011]]"
high_thetas,6,1,53,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0001], [2, 0.0001]]"
nads_binary_search,6,1,53,6.0001,2,"[[6, 0.0], [3, 0.0002], [2, 0.0004], [2, 6.0001]]"
betweenness,6,1,99,0.0003,2,"[[6, 0.0], [3, 0.0001], [2, 0.0003], [2, 0.0003]]"
degree,6,1,99,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
degree_connected,6,1,99,0.0001,2,"[[6, 0.0], [3, 0.0001], [2, 0.0001], [2, 0.0001]]"
degree_discount,6,1,99,0.0003,3,"[[6, 0.0], [3, 0.0002], [3, 0.0003]]"
degree_threshold,6,1,99,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,6,1,99,0.107,2,"[[2, 0.107]]"
goldberg_liu,6,1,99,0.0014,3,"[[6, 0.0], [5, 0.0005], [3, 0.0012], [3, 0.0014]]"
high_thetas,6,1,99,0.0001,2,"[[6, 0.0], [3, 0.0], [2, 0.0001], [2, 0.0001]]"
nads_binary_search,6,1,99,6.0,2,"[[6, 0.0], [3, 0.0002], [2, 0.0003], [2, 6.0]]"
betweenness,6,1,101,0.0002,1,"[[6, 0.0], [3, 0.0001], [1, 0.0002], [1, 0.0002]]"
degree,6,1,101,0.0001,1,"[[6, 0.0], [3, 0.0001], [1, 0.0001], [1, 0.0001]]"
degree_connected,6,1,101,0.0001,1,"[[6, 0.0], [3, 0.0001], [1, 0.0001], [1, 0.0001]]"
degree_discount,6,1,101,0.0003,1,"[[6, 0.0], [3, 0.0002], [1, 0.0003], [1, 0.0003]]"
degree_threshold,6,1,101,0.0001,1,"[[6, 0.0], [3, 0.0001], [1, 0.0001], [1, 0.0001]]"
exact_ip,6,1,101,0.0318,1,"[[1, 0.0318]]"
goldberg_liu,6,1,101,0.0013,2,"[[6, 0.0], [4, 0.0005], [2, 0.0012], [2, 0.0013]]"
high_thetas,6,1,101,0.0001,1,"[[6, 0.0], [3, 0.0001], [1, 0.0001], [1, 0.0001]]"
nads_binary_search,6,1,101,0.0002,1,"[[6, 0.0], [3, 0.0001], [1, 0.0002], [1, 0.0002]]"
betweenness,6,2,1,0.0002,4,"[[6, 0.0], [5, 0.0001], [4, 0.0002], [4, 0.0002]]"
degree,6,2,1,0.0001,4,"[[6, 0.0], [5, 0.0001], [4, 0.0001], [4, 0.0001]]"
degree_connected,6,2,1,0.0001,4,"[[6, 0.0], [5, 0.0001], [4, 0.0001], [4, 0.0001]]"
degree_discount,6,2,1,0.0004,3,"[[6, 0.0], [3, 0.0001], [3, 0.0004]]"
degree_threshold,6,2,1,0.0001,1,"[[6, 0.0], [3, 0.0], [1, 0.0001], [1, 0.0001]]"
exact_ip,6,2,1,0.0528,1,"[[1, 0.0528]]"
goldberg_liu,6,2,1,0.0011,2,"[[6, 0.0], [4, 0.0004], [2, 0.001], [2, 0.0011]]"
high_thetas,6,2,1,0.0001,1,"[[6, 0.0], [3, 0.0], [1, 0.0001], [1, 0.0001]]"
nads_binary_search,6,2,1,0.0003,1,"[[6, 0.0], [3, 0.0001], [1, 0.0002], [1, 0.0003]]"
betweenness,6,2,42,0.0002,3,"[[6, 0.0], [3, 0.0001], [3, 0.0002]]"
degree,6,2,42,0.0001,3,"[[6, 0.0], [3, 0.0001], [3, 0.0001]]"
degree_connected,6,2,42,0.0001,3,"[[6, 0.0], [3, 0.0001], [3, 0.0001]]"
degree_discount,6,2,42,0.0002,4,"[[6, 0.0], [5, 0.0001], [4, 0.0002], [4, 0.0002]]"
degree_threshold,6,2,42,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,6,2,42,0.0918,2,"[[2, 0.0918]]"
goldberg_liu,6,2,42,0.0013,3,"[[6, 0.0], [4, 0.0004], [3, 0.0012], [3, 0.0013]]"
high_thetas,6,2,42,0.0001,2,"[[6, 0.0], [3, 0.0001], [2, 0.0001], [2, 0.0001]]"
nads_binary_search,6,2,42,6.0,2,"[[6, 0.0], [3, 0.0002], [2, 0.0004], [2, 6.0]]"
betweenness,6,2,53,0.0002,4,"[[6, 0.0], [5, 0.0001], [4, 0.0002], [4, 0.0002]]"
degree,6,2,53,0.0001,4,"[[6, 0.0], [5, 0.0001], [4, 0.0001], [4, 0.0001]]"
degree_connected,6,2,53,0.0001,4,"[[6, 0.0], [5, 0.0001], [4, 0.0001], [4, 0.0001]]"
degree_discount,6,2,53,0.0003,4,"[[6, 0.0], [5, 0.0001], [4, 0.0003], [4, 0.0003]]"
degree_threshold,6,2,53,0.0002,3,"[[6, 0.0], [3, 0.0001], [3, 0.0002]]"
exact_ip,6,2,53,0.1082,3,"[[3, 0.1082]]"
goldberg_liu,6,2,53,0.0013,4,"[[6, 0.0], [4, 0.0005], [4, 0.0013]]"
high_thetas,6,2,53,0.0001,3,"[[6, 0.0], [3, 0.0001], [3, 0.0001]]"
nads_binary_search,6,2,53,6.0001,3,"[[6, 0.0], [3, 0.0002], [3, 6.0001]]"
betweenness,6,2,99,0.0003,2,"[[6, 0.0], [3, 0.0001], [2, 0.0003], [2, 0.0003]]"
degree,6,2,99,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
degree_connected,6,2,99,0.0001,2,"[[6, 0.0], [3, 0.0001], [2, 0.0001], [2, 0.0001]]"
degree_discount,6,2,99,0.0004,2,"[[6, 0.0], [3, 0.0002], [2, 0.0004], [2, 0.0004]]"
degree_threshold,6,2,99,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,6,2,99,0.1786,2,"[[2, 0.1786]]"
goldberg_liu,6,2,99,0.0013,3,"[[6, 0.0], [5, 0.0005], [3, 0.0013], [3, 0.0013]]"
high_thetas,6,2,99,0.0001,2,"[[6, 0.0], [3, 0.0], [2, 0.0001], [2, 0.0001]]"
nads_binary_search,6,2,99,6.0001,2,"[[6, 0.0], [3, 0.0002], [2, 0.0003], [2, 6.0]]"
betweenness,6,2,101,0.0002,4,"[[6, 0.0], [5, 0.0001], [4, 0.0002], [4, 0.0002]]"
degree,6,2,101,0.0001,4,"[[6, 0.0], [5, 0.0001], [4, 0.0001], [4, 0.0001]]"
degree_connected,6,2,101,0.0001,4,"[[6, 0.0], [5, 0.0001], [4, 0.0001], [4, 0.0001]]"
degree_discount,6,2,101,0.0003,3,"[[6, 0.0], [3, 0.0002], [3, 0.0003]]"
degree_threshold,6,2,101,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,6,2,101,0.0831,2,"[[2, 0.0831]]"
goldberg_liu,6,2,101,0.0013,3,"[[6, 0.0], [4, 0.0005], [3, 0.0012], [3, 0.0013]]"
high_thetas,6,2,101,0.0001,2,"[[6, 0.0], [3, 0.0], [2, 0.0001], [2, 0.0001]]"
nads_binary_search,6,2,101,6.0001,2,"[[6, 0.0], [3, 0.0002], [2, 0.0004], [2, 6.0001]]"
betweenness,6,5,1,0.0002,5,"[[6, 0.0], [6, 0.0001], [5, 0.0002], [5, 0.0002]]"
degree,6,5,1,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_connected,6,5,1,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_discount,6,5,1,0.0003,6,"[[6, 0.0], [6, 0.0001], [6, 0.0003]]"
degree_threshold,6,5,1,0.0001,4,"[[6, 0.0], [6, 0.0001], [4, 0.0001], [4, 0.0001]]"
exact_ip,6,5,1,0.0755,4,"[[4, 0.0755]]"
goldberg_liu,6,5,1,0.0011,5,"[[6, 0.0], [5, 0.0005], [5, 0.0011]]"
high_thetas,6,5,1,0.0001,4,"[[6, 0.0], [6, 0.0], [4, 0.0001], [4, 0.0001]]"
nads_binary_search,6,5,1,6.0,4,"[[6, 0.0], [6, 0.0004], [4, 0.0004], [4, 6.0]]"
betweenness,6,5,42,0.0002,5,"[[6, 0.0], [6, 0.0001], [5, 0.0002], [5, 0.0002]]"
degree,6,5,42,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_connected,6,5,42,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_discount,6,5,42,0.0002,4,"[[6, 0.0], [6, 0.0001], [4, 0.0002], [4, 0.0002]]"
degree_threshold,6,5,42,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
exact_ip,6,5,42,0.0541,4,"[[4, 0.0541]]"
goldberg_liu,6,5,42,0.0017,5,"[[6, 0.0], [5, 0.0007], [5, 0.0017]]"
high_thetas,6,5,42,0.0001,4,"[[6, 0.0], [6, 0.0], [4, 0.0001], [4, 0.0001]]"
nads_binary_search,6,5,42,6.0,3,"[[6, 0.0], [6, 0.0004], [5, 0.0006], [4, 0.0009], [3, 0.0034], [3, 6.0]]"
betweenness,6,5,53,0.0002,5,"[[6, 0.0], [6, 0.0001], [5, 0.0002], [5, 0.0002]]"
degree,6,5,53,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_connected,6,5,53,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_discount,6,5,53,0.0002,5,"[[6, 0.0], [6, 0.0001], [5, 0.0002], [5, 0.0002]]"
degree_threshold,6,5,53,0.0001,4,"[[6, 0.0], [6, 0.0], [4, 0.0001], [4, 0.0001]]"
exact_ip,6,5,53,0.0848,4,"[[4, 0.0848]]"
goldberg_liu,6,5,53,0.0013,5,"[[6, 0.0], [6, 0.0005], [5, 0.0012], [5, 0.0013]]"
high_thetas,6,5,53,0.0001,4,"[[6, 0.0], [6, 0.0], [4, 0.0001], [4, 0.0001]]"
nads_binary_search,6,5,53,6.0,4,"[[6, 0.0], [6, 0.0004], [4, 0.0004], [4, 6.0]]"
betweenness,6,5,99,0.0002,6,"[[6, 0.0], [6, 0.0001], [6, 0.0002]]"
degree,6,5,99,0.0001,6,"[[6, 0.0], [6, 0.0], [6, 0.0001]]"
degree_connected,6,5,99,0.0001,6,"[[6, 0.0], [6, 0.0], [6, 0.0001]]"
degree_discount,6,5,99,0.0003,6,"[[6, 0.0], [6, 0.0001], [6, 0.0003]]"
degree_threshold,6,5,99,0.0001,5,"[[6, 0.0], [6, 0.0001], [5, 0.0001], [5, 0.0001]]"
exact_ip,6,5,99,0.0905,5,"[[5, 0.0905]]"
goldberg_liu,6,5,99,0.0013,5,"[[6, 0.0], [6, 0.0005], [5, 0.0012], [5, 0.0013]]"
high_thetas,6,5,99,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
nads_binary_search,6,5,99,6.0001,5,"[[6, 0.0], [6, 0.0004], [5, 0.0006], [5, 6.0001]]"
betweenness,6,5,101,0.0002,5,"[[6, 0.0], [6, 0.0001], [5, 0.0002], [5, 0.0002]]"
degree,6,5,101,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_connected,6,5,101,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
degree_discount,6,5,101,0.0002,5,"[[6, 0.0], [6, 0.0001], [5, 0.0002], [5, 0.0002]]"
degree_threshold,6,5,101,0.0001,5,"[[6, 0.0], [6, 0.0], [5, 0.0001], [5, 0.0001]]"
exact_ip,6,5,101,0.0884,4,"[[4, 0.0884]]"
goldberg_liu,6,5,101,0.0011,5,"[[6, 0.0], [5, 0.0005], [5, 0.0011]]"
high_thetas,6,5,101,0.0001,4,"[[6, 0.0], [6, 0.0], [4, 0.0001], [4, 0.0001]]"
nads_binary_search,6,5,101,6.0001,3,"[[6, 0.0], [6, 0.0004], [5, 0.0006], [4, 0.0009], [3, 0.0063], [3, 6.0001]]"
betweenness,8,1,1,0.0004,2,"[[8, 0.0], [4, 0.0001], [2, 0.0003], [2, 0.0004]]"
degree,8,1,1,0.0002,4,"[[8, 0.0], [4, 0.0001], [4, 0.0002]]"
degree_connected,8,1,1,0.0002,4,"[[8, 0.0], [4, 0.0001], [4, 0.0002]]"
degree_discount,8,1,1,0.0003,5,"[[8, 0.0], [6, 0.0002], [5, 0.0003], [5, 0.0003]]"
degree_threshold,8,1,1,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,8,1,1,0.4771,2,"[[2, 0.4771]]"
goldberg_liu,8,1,1,0.002,3,"[[8, 0.0], [5, 0.0007], [3, 0.0017], [3, 0.002]]"
high_thetas,8,1,1,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
nads_binary_search,8,1,1,8.0,2,"[[8, 0.0], [4, 0.0002], [2, 0.0003], [2, 8.0]]"
betweenness,8,1,42,0.0004,3,"[[8, 0.0], [4, 0.0001], [3, 0.0004], [3, 0.0004]]"
degree,8,1,42,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
degree_connected,8,1,42,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
degree_discount,8,1,42,0.0005,2,"[[8, 0.0], [4, 0.0002], [2, 0.0004], [2, 0.0005]]"
degree_threshold,8,1,42,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,8,1,42,0.6492,2,"[[2, 0.6492]]"
goldberg_liu,8,1,42,0.002,3,"[[8, 0.0], [6, 0.0007], [3, 0.0018], [3, 0.002]]"
high_thetas,8,1,42,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
nads_binary_search,8,1,42,8.0,2,"[[8, 0.0], [4, 0.0002], [2, 0.0003], [2, 8.0]]"
betweenness,8,1,53,0.0004,2,"[[8, 0.0], [4, 0.0001], [2, 0.0003], [2, 0.0004]]"
degree,8,1,53,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
degree_connected,8,1,53,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
degree_discount,8,1,53,0.0005,3,"[[8, 0.0], [4, 0.0002], [3, 0.0005], [3, 0.0005]]"
degree_threshold,8,1,53,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,8,1,53,1.1788,2,"[[2, 1.1788]]"
goldberg_liu,8,1,53,0.0022,3,"[[8, 0.0], [6, 0.0008], [4, 0.002], [3, 0.002], [3, 0.0022]]"
high_thetas,8,1,53,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
nads_binary_search,8,1,53,8.0,2,"[[8, 0.0], [4, 0.0002], [2, 0.0003], [2, 8.0]]"
betweenness,8,1,99,0.0002,6,"[[8, 0.0], [6, 0.0001], [6, 0.0002]]"
degree,8,1,99,0.0001,7,"[[8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_connected,8,1,99,0.0001,7,"[[8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_discount,8,1,99,0.0005,4,"[[8, 0.0], [4, 0.0002], [4, 0.0005]]"
degree_threshold,8,1,99,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
exact_ip,8,1,99,0.97,3,"[[3, 0.97]]"
goldberg_liu,8,1,99,0.0028,4,"[[8, 0.0], [6, 0.0007], [4, 0.0026], [4, 0.0028]]"
high_thetas,8,1,99,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
nads_binary_search,8,1,99,8.0,2,"[[8, 0.0], [4, 0.0002], [3, 0.0007], [2, 0.001], [2, 8.0]]"
betweenness,8,1,101,0.0004,2,"[[8, 0.0], [4, 0.0001], [2, 0.0003], [2, 0.0004]]"
degree,8,1,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0002]]"
degree_connected,8,1,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
degree_discount,8,1,101,0.0005,2,"[[8, 0.0], [4, 0.0002], [2, 0.0004], [2, 0.0005]]"
degree_threshold,8,1,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,8,1,101,0.6683,2,"[[2, 0.6683]]"
goldberg_liu,8,1,101,0.0027,3,"[[8, 0.0], [7, 0.0007], [3, 0.0025], [3, 0.0027]]"
high_thetas,8,1,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
nads_binary_search,8,1,101,8.0,2,"[[8, 0.0], [4, 0.0002], [2, 0.0003], [2, 8.0]]"
betweenness,8,2,1,0.0002,6,"[[8, 0.0], [6, 0.0001], [6, 0.0002]]"
degree,8,2,1,0.0001,6,"[[8, 0.0], [6, 0.0001], [6, 0.0001]]"
degree_connected,8,2,1,0.0001,6,"[[8, 0.0], [6, 0.0001], [6, 0.0001]]"
degree_discount,8,2,1,0.0003,5,"[[8, 0.0], [6, 0.0002], [5, 0.0003], [5, 0.0003]]"
degree_threshold,8,2,1,0.0002,4,"[[8, 0.0], [4, 0.0001], [4, 0.0002]]"
exact_ip,8,2,1,0.4804,3,"[[3, 0.4804]]"
goldberg_liu,8,2,1,0.0021,4,"[[8, 0.0], [6, 0.0008], [4, 0.0019], [4, 0.0021]]"
high_thetas,8,2,1,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
nads_binary_search,8,2,1,8.0001,2,"[[8, 0.0], [4, 0.0002], [3, 0.0013], [2, 0.0115], [2, 8.0001]]"
betweenness,8,2,42,0.0002,6,"[[8, 0.0], [6, 0.0001], [6, 0.0002]]"
degree,8,2,42,0.0001,5,"[[8, 0.0], [6, 0.0001], [5, 0.0001], [5, 0.0001]]"
degree_connected,8,2,42,0.0001,5,"[[8, 0.0], [6, 0.0001], [5, 0.0001], [5, 0.0001]]"
degree_discount,8,2,42,0.0003,5,"[[8, 0.0], [6, 0.0002], [5, 0.0003], [5, 0.0003]]"
degree_threshold,8,2,42,0.0003,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0003]]"
exact_ip,8,2,42,0.2348,1,"[[1, 0.2348]]"
goldberg_liu,8,2,42,0.0021,3,"[[8, 0.0], [6, 0.0007], [3, 0.002], [3, 0.0021]]"
high_thetas,8,2,42,0.0002,1,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [1, 0.0002], [1, 0.0002]]"
nads_binary_search,8,2,42,0.0006,1,"[[8, 0.0], [4, 0.0002], [2, 0.0003], [1, 0.0006], [1, 0.0006]]"
betweenness,8,2,53,0.0004,2,"[[8, 0.0], [4, 0.0001], [2, 0.0003], [2, 0.0004]]"
degree,8,2,53,0.0002,4,"[[8, 0.0], [4, 0.0001], [4, 0.0002]]"
degree_connected,8,2,53,0.0001,4,"[[8, 0.0], [4, 0.0001], [4, 0.0001]]"
degree_discount,8,2,53,0.0004,4,"[[8, 0.0], [4, 0.0002], [4, 0.0004]]"
degree_threshold,8,2,53,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
exact_ip,8,2,53,0.5406,3,"[[3, 0.5406]]"
goldberg_liu,8,2,53,0.002,4,"[[8, 0.0], [6, 0.0007], [4, 0.0018], [4, 0.002]]"
high_thetas,8,2,53,0.0002,3,"[[8, 0.0], [4, 0.0001], [3, 0.0002], [3, 0.0002]]"
nads_binary_search,8,2,53,8.0001,2,"[[8, 0.0], [4, 0.0002], [3, 0.0006], [2, 0.0022], [2, 8.0001]]"
betweenness,8,2,99,0.0002,6,"[[8, 0.0], [6, 0.0001], [6, 0.0002]]"
degree,8,2,99,0.0001,7,"[[8, 0.0], [8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_connected,8,2,99,0.0001,7,"[[8, 0.0], [8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_discount,8,2,99,0.0004,4,"[[8, 0.0], [4, 0.0002], [4, 0.0004]]"
degree_threshold,8,2,99,0.0001,5,"[[8, 0.0], [6, 0.0001], [5, 0.0001], [5, 0.0001]]"
exact_ip,8,2,99,0.8011,4,"[[4, 0.8011]]"
goldberg_liu,8,2,99,0.0028,5,"[[8, 0.0], [6, 0.0008], [5, 0.0026], [5, 0.0028]]"
high_thetas,8,2,99,0.0002,4,"[[8, 0.0], [4, 0.0001], [4, 0.0002]]"
nads_binary_search,8,2,99,8.0001,2,"[[8, 0.0], [6, 0.0006], [5, 0.0006], [4, 0.001], [3, 0.0032], [2, 0.0073], [2, 8.0]]"
betweenness,8,2,101,0.0004,2,"[[8, 0.0], [4, 0.0001], [2, 0.0003], [2, 0.0004]]"
degree,8,2,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0002]]"
degree_connected,8,2,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
degree_discount,8,2,101,0.0005,2,"[[8, 0.0], [4, 0.0002], [2, 0.0004], [2, 0.0005]]"
degree_threshold,8,2,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,8,2,101,0.4675,2,"[[2, 0.4675]]"
goldberg_liu,8,2,101,0.0027,3,"[[8, 0.0], [7, 0.0007], [3, 0.0025], [3, 0.0027]]"
high_thetas,8,2,101,0.0002,2,"[[8, 0.0], [4, 0.0001], [2, 0.0001], [2, 0.0002]]"
nads_binary_search,8,2,101,8.0,2,"[[8, 0.0], [4, 0.0002], [2, 0.0003], [2, 8.0]]"
betweenness,8,5,1,0.0003,7,"[[8, 0.0], [7, 0.0001], [7, 0.0003]]"
degree,8,5,1,0.0001,6,"[[8, 0.0], [6, 0.0001], [6, 0.0001]]"
degree_connected,8,5,1,0.0001,6,"[[8, 0.0], [6, 0.0001], [6, 0.0001]]"
degree_discount,8,5,1,0.0003,6,"[[8, 0.0], [6, 0.0002], [6, 0.0003]]"
degree_threshold,8,5,1,0.0001,5,"[[8, 0.0], [5, 0.0001], [5, 0.0001]]"
exact_ip,8,5,1,0.3301,5,"[[5, 0.3301]]"
goldberg_liu,8,5,1,0.0021,5,"[[8, 0.0], [7, 0.0007], [5, 0.0019], [5, 0.0021]]"
high_thetas,8,5,1,0.0001,5,"[[8, 0.0], [5, 0.0001], [5, 0.0001]]"
nads_binary_search,8,5,1,8.0001,5,"[[8, 0.0], [5, 0.0005], [5, 8.0001]]"
betweenness,8,5,42,0.0003,7,"[[8, 0.0], [7, 0.0001], [7, 0.0003]]"
degree,8,5,42,0.0001,7,"[[8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_connected,8,5,42,0.0001,7,"[[8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_discount,8,5,42,0.0004,7,"[[8, 0.0], [7, 0.0002], [7, 0.0004]]"
degree_threshold,8,5,42,0.0001,6,"[[8, 0.0], [6, 0.0001], [6, 0.0001]]"
exact_ip,8,5,42,0.2373,4,"[[4, 0.2373]]"
goldberg_liu,8,5,42,0.0018,5,"[[8, 0.0], [6, 0.0007], [5, 0.0017], [5, 0.0018]]"
high_thetas,8,5,42,0.0001,4,"[[8, 0.0], [4, 0.0001], [4, 0.0001]]"
nads_binary_search,8,5,42,8.0,4,"[[8, 0.0], [6, 0.0005], [5, 0.0013], [4, 0.0016], [4, 8.0]]"
betweenness,8,5,53,0.0003,7,"[[8, 0.0], [7, 0.0001], [7, 0.0003]]"
degree,8,5,53,0.0001,7,"[[8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_connected,8,5,53,0.0001,7,"[[8, 0.0], [7, 0.0001], [7, 0.0001]]"
degree_discount,8,5,53,0.0003,6,"[[8, 0.0], [7, 0.0002], [6, 0.0003], [6, 0.0003]]"
degree_threshold,8,5,53,0.0001,6,"[[8, 0.0], [6, 0.0001], [6, 0.0001]]"
exact_ip,8,5,53,0.3373,6,"[[6, 0.3373]]"
goldberg_liu,8,5,53,0.0019,6,"[[8, 0.0], [7, 0.0007], [6, 0.0017], [6, 0.0019]]"
high_thetas,8,5,53,0.0001,6,"[[8, 0.0], [6, 0.0001], [6, 0.0001]]"
nads_binary_search,8,5,53,8.0001,6,"[[8, 0.0], [6, 0.0005], [6, 8.0001]]"
betweenness,8,5,99,0.0003,7,"[[8, 0.0], [7, 0.0001], [7, 0.0003]]"
degree,8,5,99,0.0001,8,"[[8, 0.0], [8, 0.0], [8, 0.0001]]"
degree_connected,8,5,99,0.0001,8,"[[8, 0.0], [8, 0.0], [8, 0.0001]]"
degree_discount,8,5,99,0.0003,6,"[[8, 0.0], [6, 0.0002], [6, 0.0003]]"
degree_threshold,8,5,99,0.0002,7,"[[8, 0.0], [7, 0.0001], [7, 0.0002]]"
exact_ip,8,5,99,0.4009,7,"[[7, 0.4009]]"
