n_nodes,c,seed,num_nodes,num_edges,max_time,GL_build_failed,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,NS_GL_gap,GL_history_json,NS_history_json
600,10,53,600,1481,1080.0,False,101.9501,1034.9961,1136.9462,282.0,1081.3331,30,-252.0,"[[600, 0.0], [282, 111.6313], [282, 1136.9462]]","[[600, 0.0], [300, 0.2587], [150, 1.2306], [75, 3.5379], [37, 93.8167], [30, 632.5306], [30, 1081.3331]]"
600,20,53,600,1481,1080.0,False,99.6919,1086.6513,1186.3432,287.0,1080.0295,37,-250.0,"[[600, 0.0], [287, 109.6896], [287, 1186.3432]]","[[600, 0.0], [300, 0.4972], [150, 4.0083], [75, 20.5772], [37, 407.7076], [37, 1080.0295]]"
1000,1,53,1000,2488,1800.0,True,,,,,1800.0514,31,,[],"[[1000, 0.0], [500, 0.0074], [250, 0.0136], [125, 0.0242], [62, 0.0446], [31, 223.3643], [31, 1800.0513]]"
1000,5,53,1000,2488,1800.0,True,,,,,1800.0575,31,,[],"[[1000, 0.0], [500, 0.0075], [250, 0.014], [125, 0.0257], [62, 0.0475], [31, 407.8444], [31, 1800.0575]]"
1000,10,53,1000,2488,1800.0,True,,,,,1800.0623,62,,[],"[[1000, 0.0], [500, 0.3128], [250, 2.1198], [125, 5.8809], [62, 58.3583], [62, 1800.0623]]"
1000,20,53,1000,2488,1800.0,True,,,,,1800.119,65,,[],"[[1000, 0.0], [500, 12.5158], [250, 29.4975], [125, 153.5737], [65, 1800.119], [65, 1800.119]]"
2000,1,53,2000,4960,3600.0,True,,,,,3600.0973,125,,[],"[[2000, 0.0], [1000, 0.0186], [500, 0.0343], [250, 0.0626], [125, 0.1287], [125, 3600.0973]]"
2000,5,53,2000,4960,3600.0,True,,,,,3623.6156,125,,[],"[[2000, 0.0], [1000, 0.0191], [500, 0.035], [250, 29.6939], [125, 237.0577], [125, 3623.6155]]"
2000,10,53,2000,4960,3600.0,True,,,,,3623.3916,125,,[],"[[2000, 0.0], [1000, 0.0188], [500, 0.0343], [250, 126.4279], [125, 1081.053], [125, 3623.3916]]"
2000,20,53,2000,4960,3600.0,True,,,,,3600.0509,125,,[],"[[2000, 0.0], [1000, 1.6854], [500, 48.672], [250, 458.8918], [125, 3514.9016], [125, 3600.0508]]"
