algorithm,n_nodes,c,seed,total_time,K,history
high_thetas,200,10,2,0.0069,42,"[[200, 0.0], [100, 0.0004], [50, 0.0019], [43, 0.0043], [42, 0.0069], [42, 0.0069]]"
betweenness,200,10,3,0.0877,104,"[[200, 0.0], [104, 0.0291], [104, 0.0877]]"
degree,200,10,3,0.0021,110,"[[200, 0.0], [113, 0.0006], [110, 0.0011], [110, 0.0021]]"
degree_connected,200,10,3,0.0271,113,"[[200, 0.0], [113, 0.0051], [113, 0.0271]]"
degree_discount,200,10,3,0.0123,111,"[[200, 0.0], [113, 0.0023], [111, 0.0047], [111, 0.0123]]"
degree_threshold,200,10,3,0.0009,102,"[[200, 0.0], [102, 0.0004], [102, 0.0009]]"
high_thetas,200,10,3,0.0076,36,"[[200, 0.0], [100, 0.0004], [50, 0.0015], [37, 0.0038], [36, 0.0076], [36, 0.0076]]"
betweenness,200,10,7,0.1235,107,"[[200, 0.0], [107, 0.0309], [107, 0.1235]]"
degree,200,10,7,0.0025,107,"[[200, 0.0], [107, 0.0007], [107, 0.0025]]"
degree_connected,200,10,7,0.0209,107,"[[200, 0.0], [107, 0.0052], [107, 0.0209]]"
degree_discount,200,10,7,0.0122,112,"[[200, 0.0], [112, 0.0024], [112, 0.0122]]"
degree_threshold,200,10,7,0.0009,102,"[[200, 0.0], [102, 0.0005], [102, 0.0009]]"
high_thetas,200,10,7,0.007,37,"[[200, 0.0], [100, 0.0004], [50, 0.0015], [37, 0.0042], [37, 0.007]]"
betweenness,200,10,13,0.1189,106,"[[200, 0.0], [106, 0.0298], [106, 0.1189]]"
degree,200,10,13,0.0022,106,"[[200, 0.0], [106, 0.0006], [106, 0.0022]]"
degree_connected,200,10,13,0.0212,106,"[[200, 0.0], [106, 0.0053], [106, 0.0212]]"
degree_discount,200,10,13,0.0074,104,"[[200, 0.0], [104, 0.0027], [104, 0.0074]]"
degree_threshold,200,10,13,0.0013,104,"[[200, 0.0], [104, 0.0005], [104, 0.0013]]"
high_thetas,200,10,13,0.0119,34,"[[200, 0.0], [100, 0.0004], [50, 0.0012], [37, 0.0033], [34, 0.0078], [34, 0.0119]]"
betweenness,200,10,17,0.1478,114,"[[200, 0.0], [114, 0.0299], [114, 0.1478]]"
degree,200,10,17,0.0027,113,"[[200, 0.0], [113, 0.0006], [113, 0.0027]]"
degree_connected,200,10,17,0.0273,113,"[[200, 0.0], [113, 0.0052], [113, 0.0273]]"
degree_discount,200,10,17,0.0043,102,"[[200, 0.0], [102, 0.0022], [102, 0.0043]]"
degree_threshold,200,10,17,0.002,52,"[[200, 0.0], [100, 0.0005], [52, 0.0013], [52, 0.002]]"
high_thetas,200,10,17,0.0061,34,"[[200, 0.0], [100, 0.0004], [50, 0.0014], [37, 0.0033], [34, 0.0056], [34, 0.0061]]"
betweenness,200,10,42,0.0902,104,"[[200, 0.0], [104, 0.0301], [104, 0.0902]]"
degree,200,10,42,0.0018,104,"[[200, 0.0], [104, 0.0006], [104, 0.0018]]"
degree_connected,200,10,42,0.0158,104,"[[200, 0.0], [104, 0.0053], [104, 0.0158]]"
degree_discount,200,10,42,0.012,73,"[[200, 0.0], [100, 0.0027], [93, 0.006], [73, 0.009], [73, 0.012]]"
degree_threshold,200,10,42,0.003,54,"[[200, 0.0], [100, 0.0005], [54, 0.0014], [54, 0.003]]"
high_thetas,200,10,42,0.0088,38,"[[200, 0.0], [100, 0.0004], [50, 0.0017], [43, 0.0047], [40, 0.0066], [38, 0.0088], [38, 0.0088]]"
betweenness,200,10,53,0.0881,104,"[[200, 0.0], [104, 0.0294], [104, 0.0881]]"
degree,200,10,53,0.0018,104,"[[200, 0.0], [104, 0.0007], [104, 0.0018]]"
degree_connected,200,10,53,0.0155,104,"[[200, 0.0], [104, 0.0051], [104, 0.0155]]"
degree_discount,200,10,53,0.0069,108,"[[200, 0.0], [113, 0.0023], [108, 0.0046], [108, 0.0069]]"
degree_threshold,200,10,53,0.003,53,"[[200, 0.0], [100, 0.0005], [53, 0.0013], [53, 0.003]]"
high_thetas,200,10,53,0.0089,32,"[[200, 0.0], [100, 0.0003], [50, 0.0011], [37, 0.0027], [34, 0.0066], [32, 0.0089], [32, 0.0089]]"
betweenness,200,10,99,0.0895,104,"[[200, 0.0], [104, 0.0299], [104, 0.0895]]"
degree,200,10,99,0.0019,104,"[[200, 0.0], [104, 0.0006], [104, 0.0019]]"
degree_connected,200,10,99,0.0155,104,"[[200, 0.0], [104, 0.0051], [104, 0.0155]]"
degree_discount,200,10,99,0.0116,109,"[[200, 0.0], [109, 0.0024], [109, 0.0116]]"
degree_threshold,200,10,99,0.0031,54,"[[200, 0.0], [100, 0.0005], [54, 0.0014], [54, 0.0031]]"
high_thetas,200,10,99,0.0057,44,"[[200, 0.0], [100, 0.0003], [50, 0.0014], [46, 0.0039], [44, 0.0057], [44, 0.0057]]"
betweenness,200,10,101,0.1173,105,"[[200, 0.0], [105, 0.0294], [105, 0.1173]]"
degree,200,10,101,0.0024,115,"[[200, 0.0], [115, 0.0005], [115, 0.0024]]"
degree_connected,200,10,101,0.0274,115,"[[200, 0.0], [115, 0.0051], [115, 0.0274]]"
degree_discount,200,10,101,0.0084,105,"[[200, 0.0], [105, 0.0021], [105, 0.0084]]"
degree_threshold,200,10,101,0.0013,103,"[[200, 0.0], [103, 0.0004], [103, 0.0013]]"
high_thetas,200,10,101,0.0061,40,"[[200, 0.0], [100, 0.0003], [50, 0.0012], [43, 0.0033], [40, 0.0052], [40, 0.0061]]"
betweenness,200,20,1,0.1784,121,"[[200, 0.0], [122, 0.0299], [121, 0.0896], [121, 0.1784]]"
degree,200,20,1,0.0022,105,"[[200, 0.0], [105, 0.0006], [105, 0.0022]]"
degree_connected,200,20,1,0.021,105,"[[200, 0.0], [105, 0.0052], [105, 0.021]]"
degree_discount,200,20,1,0.0134,119,"[[200, 0.0], [119, 0.0022], [119, 0.0134]]"
degree_threshold,200,20,1,0.0013,104,"[[200, 0.0], [104, 0.0005], [104, 0.0013]]"
high_thetas,200,20,1,0.0066,44,"[[200, 0.0], [100, 0.0004], [50, 0.0017], [46, 0.0046], [44, 0.0066], [44, 0.0066]]"
betweenness,200,20,2,0.1833,121,"[[200, 0.0], [122, 0.0306], [121, 0.0614], [121, 0.1833]]"
degree,200,20,2,0.003,121,"[[200, 0.0], [125, 0.0005], [121, 0.0011], [121, 0.003]]"
degree_connected,200,20,2,0.035,121,"[[200, 0.0], [124, 0.0051], [121, 0.0109], [121, 0.035]]"
degree_discount,200,20,2,0.012,109,"[[200, 0.0], [109, 0.0026], [109, 0.012]]"
degree_threshold,200,20,2,0.0014,103,"[[200, 0.0], [103, 0.0005], [103, 0.0014]]"
high_thetas,200,20,2,0.0042,50,"[[200, 0.0], [100, 0.0005], [50, 0.0022], [50, 0.0042]]"
betweenness,200,20,3,0.1477,110,"[[200, 0.0], [110, 0.0301], [110, 0.1477]]"
degree,200,20,3,0.0025,113,"[[200, 0.0], [113, 0.0006], [113, 0.0025]]"
degree_connected,200,20,3,0.0273,113,"[[200, 0.0], [113, 0.0051], [113, 0.0273]]"
degree_discount,200,20,3,0.0117,118,"[[200, 0.0], [123, 0.0022], [118, 0.0048], [118, 0.0117]]"
degree_threshold,200,20,3,0.0013,104,"[[200, 0.0], [104, 0.0005], [104, 0.0013]]"
high_thetas,200,20,3,0.0067,42,"[[200, 0.0], [100, 0.0004], [50, 0.0016], [43, 0.0039], [42, 0.0067], [42, 0.0067]]"
betweenness,200,20,7,0.1526,110,"[[200, 0.0], [110, 0.031], [110, 0.1526]]"
degree,200,20,7,0.003,120,"[[200, 0.0], [122, 0.0005], [120, 0.0011], [120, 0.003]]"
degree_connected,200,20,7,0.0271,110,"[[200, 0.0], [110, 0.0052], [110, 0.0271]]"
degree_discount,200,20,7,0.0125,122,"[[200, 0.0], [122, 0.0021], [122, 0.0125]]"
degree_threshold,200,20,7,0.0014,104,"[[200, 0.0], [104, 0.0005], [104, 0.0014]]"
high_thetas,200,20,7,0.0062,47,"[[200, 0.0], [100, 0.0004], [50, 0.0016], [48, 0.0048], [47, 0.0061], [47, 0.0062]]"
betweenness,200,20,13,0.1777,121,"[[200, 0.0], [122, 0.0298], [121, 0.0595], [121, 0.1777]]"
degree,200,20,13,0.0028,111,"[[200, 0.0], [111, 0.0006], [111, 0.0028]]"
degree_connected,200,20,13,0.0274,111,"[[200, 0.0], [111, 0.0053], [111, 0.0274]]"
degree_discount,200,20,13,0.0131,120,"[[200, 0.0], [123, 0.0022], [120, 0.0044], [120, 0.0131]]"
degree_threshold,200,20,13,0.0013,104,"[[200, 0.0], [104, 0.0005], [104, 0.0013]]"
high_thetas,200,20,13,0.0071,36,"[[200, 0.0], [100, 0.0004], [50, 0.0015], [37, 0.0031], [36, 0.0071], [36, 0.0071]]"
betweenness,200,20,17,0.1464,114,"[[200, 0.0], [114, 0.0293], [114, 0.1464]]"
degree,200,20,17,0.0027,113,"[[200, 0.0], [113, 0.0006], [113, 0.0027]]"
degree_connected,200,20,17,0.0272,113,"[[200, 0.0], [113, 0.0051], [113, 0.0272]]"
degree_discount,200,20,17,0.01,113,"[[200, 0.0], [113, 0.0022], [113, 0.01]]"
degree_threshold,200,20,17,0.0013,103,"[[200, 0.0], [103, 0.0005], [103, 0.0013]]"
high_thetas,200,20,17,0.0049,40,"[[200, 0.0], [100, 0.0004], [50, 0.0014], [43, 0.003], [40, 0.0046], [40, 0.0049]]"
betweenness,200,20,42,0.1204,106,"[[200, 0.0], [106, 0.0301], [106, 0.1204]]"
degree,200,20,42,0.0022,108,"[[200, 0.0], [108, 0.0006], [108, 0.0022]]"
degree_connected,200,20,42,0.0211,108,"[[200, 0.0], [108, 0.0052], [108, 0.0211]]"
degree_discount,200,20,42,0.0116,109,"[[200, 0.0], [109, 0.0024], [109, 0.0116]]"
degree_threshold,200,20,42,0.0039,58,"[[200, 0.0], [100, 0.0005], [58, 0.0014], [58, 0.0039]]"
high_thetas,200,20,42,0.0078,45,"[[200, 0.0], [100, 0.0004], [50, 0.0016], [46, 0.0049], [45, 0.0078], [45, 0.0078]]"
betweenness,200,20,53,0.1462,111,"[[200, 0.0], [111, 0.0293], [111, 0.1462]]"
degree,200,20,53,0.0023,111,"[[200, 0.0], [111, 0.0006], [111, 0.0023]]"
degree_connected,200,20,53,0.0263,109,"[[200, 0.0], [109, 0.0051], [109, 0.0263]]"
degree_discount,200,20,53,0.0115,110,"[[200, 0.0], [110, 0.0024], [110, 0.0115]]"
degree_threshold,200,20,53,0.0013,104,"[[200, 0.0], [104, 0.0005], [104, 0.0013]]"
high_thetas,200,20,53,0.0072,42,"[[200, 0.0], [100, 0.0003], [50, 0.0011], [43, 0.0037], [42, 0.0072], [42, 0.0072]]"
